Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.example.examplefeature.TaskService.TaskService(TaskRepository);0;0;0,0;0;0;0,5;2,3774;0,0006;3;3;4,7549;3;1,0;0;85,3765;0;1;2;0;1
com.example.examplefeature.TaskService.createTask(String, LocalDate);1;1;1,0;4;1;6,6667;506,6667;0,0212;19;16;76,0;9;0,5;0;65,9215;1;2;4;0;2
com.example.examplefeature.TaskService.list(Pageable);0;0;1,0;2;0;2,0;39,303;0,0039;7;7;19,6515;4;1,0;0;77,9128;0;1;2;0;1
com.example.examplefeature.ui.TaskListView.TaskListView(TaskService);0;0;0,6897;28;8;27,4286;15229,6516;0,2048;94;60;555,2477;28;0,3333;0;49,2162;0;1;19;0;1
com.example.examplefeature.ui.TaskListView.createTask();0;0;1,0;8;2;6,25;547,3027;0,0223;21;18;87,5684;8;0,6667;0;66,7195;0;1;6;0;0
com.example.service.CurrencyConversionService.convert(CurrencyConversionDTO);8;1;0,4444;9;1;32,3077;13149,1347;0,1857;80;34;406,997;30;0,2;1;49,1907;1;11;11;1;1
com.example.service.EmailService.EmailService(JavaMailSender, RelatorioPdfService);0;0;0,0;0;0;1,0;18,0947;0,0023;7;6;18,0947;4;1,0;0;78,0773;0;1;4;0;2
com.example.service.EmailService.enviarEmail(String, boolean);1;0;0,4286;7;0;10,8571;1971,1681;0,0524;37;30;181,555;14;1,0;0;59,0969;1;2;8;0;2
com.example.service.RelatorioPdfService.gerarRelatorio(String);1;0;0,4444;9;1;14,3846;3105,6843;0,071;44;30;215,9032;19;0,0;1;55,6803;3;2;7;1;1
com.example.util.QRCodeGenerator.generateQRCodeImage(String, int, int);0;0;1,0;4;1;6,1111;607,471;0,0239;23;20;99,4043;8;0,0;0;66,3266;0;1;8;0;3
com.example.view.CurrencyConversionView.CurrencyConversionView();5;1;0,6364;21;3;34,5455;38203,2368;0,3781;177;76;1105,8832;72;0,1429;0;37,9581;3;5;21;0;0
com.example.view.CurrencyConversionView.valueOrEmpty(Double);1;0;1,0;1;0;2,5;67,5;0,0055;9;8;27,0;3;0,0;0;79,5912;0;2;1;0;1
com.example.view.EmailView.EmailView();0;0;0,6667;5;0;5,7143;446,5018;0,0195;20;15;78,1378;8;0,0;0;67,0516;0;1;3;0;0
com.example.view.EmailView.enviarEmail(String, boolean);1;0;0,8;5;2;6,5;715,2542;0,0267;24;24;110,0391;11;0,0;0;62,896;1;2;6;0;2
com.example.view.RelatorioView.RelatorioView();0;0;0,8;10;2;8,6667;1027,8023;0,0339;27;21;118,5926;13;0,0;0;61,1931;0;1;4;0;0
